Database,MDBDir,Path,TableName,FileType,PartitionKey,PartitionValue,SourceURI,DownloadPolicy,ExpectedSHA256,ArchiveType,ArchiveMember,Delimiter,ReaderOptions,SourceProvider,SourceRelease,SourceLicense,CitationURL,SourceNotes,AccessMode,AccessRequirements,ApproxRows,ApproxColumns,DatasetName,SourceComponent,Group,Large
NHANES,remote/nhanes/demographics,DEMO_L.xpt,DEMO,xpt,survey_cycle,2021-2023,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2021/DataFiles/DEMO_L.xpt,if_missing,,,,,,CDC/NCHS,2021-2023,United States government public data,https://wwwn.cdc.gov/nchs/nhanes/search/datapage.aspx?Component=Demographics,Demographic Variables and Sample Weights. Apply NHANES survey weights and design variables where required.,public,Review the NHANES data user agreement and analytic guidance.,,,Continuous NHANES,Demographics,nhanes,FALSE
NHANES,remote/nhanes/dietary,DRXFMT.xpt,DRXFMT,xpt,survey_cycle,1999-2000,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/DRXFMT.xpt,if_missing,,,,,,CDC/NCHS,1999-2000,United States government public data,https://wwwn.cdc.gov/nchs/nhanes/search/datapage.aspx?Component=Dietary,Dietary Interview Technical Support File - Food Code Format File. Apply NHANES survey weights and design variables where required.,public,Review the NHANES data user agreement and analytic guidance.,,,Continuous NHANES,Dietary,nhanes,FALSE
NHANES,remote/nhanes/dietary,DRXIFF.xpt,DRXIFF,xpt,survey_cycle,1999-2000,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/DRXIFF.xpt,if_missing,,,,,,CDC/NCHS,1999-2000,United States government public data,https://wwwn.cdc.gov/nchs/nhanes/search/datapage.aspx?Component=Dietary,Dietary Interview - Individual Foods. Apply NHANES survey weights and design variables where required.,public,Review the NHANES data user agreement and analytic guidance.,,,Continuous NHANES,Dietary,nhanes,FALSE
NHANES,remote/nhanes/dietary,DRXTOT.xpt,DRXTOT,xpt,survey_cycle,1999-2000,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/DRXTOT.xpt,if_missing,,,,,,CDC/NCHS,1999-2000,United States government public data,https://wwwn.cdc.gov/nchs/nhanes/search/datapage.aspx?Component=Dietary,Dietary Interview - Total Nutrient Intakes. Apply NHANES survey weights and design variables where required.,public,Review the NHANES data user agreement and analytic guidance.,,,Continuous NHANES,Dietary,nhanes,FALSE
NHANES,remote/nhanes/dietary,DSQFILE1.xpt,DSQFILE1,xpt,survey_cycle,1999-2000,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/DSQFILE1.xpt,if_missing,,,,,,CDC/NCHS,1999-2000,United States government public data,https://wwwn.cdc.gov/nchs/nhanes/search/datapage.aspx?Component=Dietary,"Dietary Supplement Use 30-Day - File 1, Supplement Counts. Apply NHANES survey weights and design variables where required.",public,Review the NHANES data user agreement and analytic guidance.,,,Continuous NHANES,Dietary,nhanes,FALSE
NHANES,remote/nhanes/dietary,DSQFILE2.xpt,DSQFILE2,xpt,survey_cycle,1999-2000,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/DSQFILE2.xpt,if_missing,,,,,,CDC/NCHS,1999-2000,United States government public data,https://wwwn.cdc.gov/nchs/nhanes/search/datapage.aspx?Component=Dietary,"Dietary Supplement Use 30-Day - File 2, Participant's Use of Supplements. Apply NHANES survey weights and design variables where required.",public,Review the NHANES data user agreement and analytic guidance.,,,Continuous NHANES,Dietary,nhanes,FALSE
NHANES,remote/nhanes/dietary,DSBI.xpt,DSBI,xpt,survey_cycle,1999-2023,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/DSBI.xpt,if_missing,,,,,,CDC/NCHS,1999-2023,United States government public data,https://wwwn.cdc.gov/nchs/nhanes/search/datapage.aspx?Component=Dietary,Dietary Supplement Database - Blend Information. Apply NHANES survey weights and design variables where required.,public,Review the NHANES data user agreement and analytic guidance.,,,Continuous NHANES,Dietary,nhanes,FALSE
NHANES,remote/nhanes/dietary,DSII.xpt,DSII,xpt,survey_cycle,1999-2023,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/DSII.xpt,if_missing,,,,,,CDC/NCHS,1999-2023,United States government public data,https://wwwn.cdc.gov/nchs/nhanes/search/datapage.aspx?Component=Dietary,Dietary Supplement Database - Ingredient Information. Apply NHANES survey weights and design variables where required.,public,Review the NHANES data user agreement and analytic guidance.,,,Continuous NHANES,Dietary,nhanes,FALSE
NHANES,remote/nhanes/dietary,DSPI.xpt,DSPI,xpt,survey_cycle,1999-2023,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/DSPI.xpt,if_missing,,,,,,CDC/NCHS,1999-2023,United States government public data,https://wwwn.cdc.gov/nchs/nhanes/search/datapage.aspx?Component=Dietary,Dietary Supplement Database - Product Information. Apply NHANES survey weights and design variables where required.,public,Review the NHANES data user agreement and analytic guidance.,,,Continuous NHANES,Dietary,nhanes,FALSE
NHANES,remote/nhanes/dietary,DRXFMT_B.xpt,DRXFMT,xpt,survey_cycle,2001-2002,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2001/DataFiles/DRXFMT_B.xpt,if_missing,,,,,,CDC/NCHS,2001-2002,United States government public data,https://wwwn.cdc.gov/nchs/nhanes/search/datapage.aspx?Component=Dietary,Dietary Interview Technical Support File - Food Code Format File. Apply NHANES survey weights and design variables where required.,public,Review the NHANES data user agreement and analytic guidance.,,,Continuous NHANES,Dietary,nhanes,FALSE
NHANES,remote/nhanes/dietary,DRXIFF_B.xpt,DRXIFF,xpt,survey_cycle,2001-2002,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2001/DataFiles/DRXIFF_B.xpt,if_missing,,,,,,CDC/NCHS,2001-2002,United States government public data,https://wwwn.cdc.gov/nchs/nhanes/search/datapage.aspx?Component=Dietary,Dietary Interview - Individual Foods. Apply NHANES survey weights and design variables where required.,public,Review the NHANES data user agreement and analytic guidance.,,,Continuous NHANES,Dietary,nhanes,FALSE
